time,value
2024-07-16T00:47:50.010837072Z,{"lat":10.833110869828651,"lon":106.76988534897433}
2024-07-16T00:47:51.03074446Z,{"lat":10.833140872984563,"lon":106.76983433268613}
2024-07-16T00:47:52.053941939Z,{"lat":10.833162018280554,"lon":106.7697866361088}
2024-07-16T00:47:53.064648514Z,{"lat":10.833182126880414,"lon":106.7697530292331}
2024-07-16T00:47:54.08118951Z,{"lat":10.833198339725767,"lon":106.76972570614072}
2024-07-16T00:47:55.100441807Z,{"lat":10.833212371348056,"lon":106.7697002240434}
2024-07-16T00:47:56.110845993Z,{"lat":10.833221209924801,"lon":106.76967264354126}
2024-07-16T00:47:57.124010336Z,{"lat":10.833220557196766,"lon":106.76966207794351}
2024-07-16T00:47:58.141093492Z,{"lat":10.833223134744024,"lon":106.76965779979551}
2024-07-16T00:47:59.170718839Z,{"lat":10.833209949431465,"lon":106.76963847377556}
2024-07-16T00:48:00.171376408Z,{"lat":10.833189547083123,"lon":106.76960002427748}
2024-07-16T00:48:01.200680998Z,{"lat":10.833154072109917,"lon":106.76956477579981}
2024-07-16T00:48:02.201175807Z,{"lat":10.83312170669885,"lon":106.76953246197553}
2024-07-16T00:48:03.221125915Z,{"lat":10.833091303783808,"lon":106.76949580545323}
2024-07-16T00:48:04.240905701Z,{"lat":10.833046797537065,"lon":106.76945857690798}
2024-07-16T00:48:05.250930592Z,{"lat":10.833006733490675,"lon":106.76941459190682}
2024-07-16T00:48:06.264408791Z,{"lat":10.832967609011167,"lon":106.76935858184912}
2024-07-16T00:48:07.281046422Z,{"lat":10.832925185710486,"lon":106.76931784916249}
2024-07-16T00:48:08.283764634Z,{"lat":10.832883212946815,"lon":106.76926984927448}
2024-07-16T00:48:09.31052809Z,{"lat":10.832840374541286,"lon":106.76923295399173}
2024-07-16T00:48:10.347137176Z,{"lat":10.832796434665093,"lon":106.76919633397857}
2024-07-16T00:48:11.344356317Z,{"lat":10.832742069264818,"lon":106.76912825695564}
2024-07-16T00:48:12.361137188Z,{"lat":10.832722081353083,"lon":106.76910805158654}
2024-07-16T00:48:13.380771778Z,{"lat":10.832709115839005,"lon":106.7690785060199}
2024-07-16T00:48:14.394159876Z,{"lat":10.832711332581713,"lon":106.76903965356416}
2024-07-16T00:48:15.401371436Z,{"lat":10.832733943480843,"lon":106.76899842520154}
2024-07-16T00:48:16.424093866Z,{"lat":10.832757035472625,"lon":106.76897013942009}
2024-07-16T00:48:17.445520395Z,{"lat":10.832776876712881,"lon":106.76894731604091}
2024-07-16T00:48:18.450309993Z,{"lat":10.832801965693573,"lon":106.76892323185456}
2024-07-16T00:48:19.47451761Z,{"lat":10.832822548060825,"lon":106.76889163907697}
2024-07-16T00:48:20.484875515Z,{"lat":10.832856618196514,"lon":106.768849617845}
2024-07-16T00:48:21.500405964Z,{"lat":10.832894559734973,"lon":106.76881442559646}
2024-07-16T00:48:22.529297775Z,{"lat":10.83293212397835,"lon":106.76877317234225}
2024-07-16T00:48:23.549038755Z,{"lat":10.832965784368302,"lon":106.76872662697153}
2024-07-16T00:48:24.555729113Z,{"lat":10.832993611276462,"lon":106.76868945461874}
2024-07-16T00:48:25.550763626Z,{"lat":10.833028120953045,"lon":106.76864106292719}
2024-07-16T00:48:26.580832666Z,{"lat":10.833071046780224,"lon":106.7686008598013}
2024-07-16T00:48:27.590747608Z,{"lat":10.833119655722248,"lon":106.76856388002712}
2024-07-16T00:48:28.618756094Z,{"lat":10.833151297267927,"lon":106.76853447042339}
2024-07-16T00:48:29.62415915Z,{"lat":10.83318441026486,"lon":106.76849401418445}
2024-07-16T00:48:30.644661222Z,{"lat":10.833218569064014,"lon":106.76845637920933}
2024-07-16T00:48:31.650661035Z,{"lat":10.833252073463141,"lon":106.76841880459307}
2024-07-16T00:48:32.670914876Z,{"lat":10.833271944490347,"lon":106.76839209540321}
2024-07-16T00:48:33.684219098Z,{"lat":10.833286315257645,"lon":106.76835401602871}
2024-07-16T00:48:34.705661987Z,{"lat":10.833271552744568,"lon":106.76832428326153}
2024-07-16T00:48:35.699692039Z,{"lat":10.833274078837867,"lon":106.76828540981708}
2024-07-16T00:48:36.733913624Z,{"lat":10.833270541232892,"lon":106.768234053352}
2024-07-16T00:48:37.758480343Z,{"lat":10.833274856342541,"lon":106.76817125312226}
2024-07-16T00:48:38.760824957Z,{"lat":10.833283032644914,"lon":106.7681171055181}
2024-07-16T00:48:39.780769464Z,{"lat":10.833284061598105,"lon":106.76806516334632}
2024-07-16T00:48:40.804406947Z,{"lat":10.833292598161345,"lon":106.7680226969365}
2024-07-16T00:48:41.810675603Z,{"lat":10.833300896338738,"lon":106.76797731855771}
2024-07-16T00:48:42.825484375Z,{"lat":10.83329696068822,"lon":106.76791747344203}
2024-07-16T00:48:43.841699759Z,{"lat":10.833294984636781,"lon":106.76784948657182}
2024-07-16T00:48:44.861760093Z,{"lat":10.83329344700009,"lon":106.76779915244074}
2024-07-16T00:48:45.85657295Z,{"lat":10.833294935544554,"lon":106.76777813145874}
2024-07-16T00:48:46.881633042Z,{"lat":10.833293353683523,"lon":106.76774726196447}
2024-07-16T00:48:47.897926672Z,{"lat":10.833293833833551,"lon":106.76772147645688}
2024-07-16T00:48:48.921733524Z,{"lat":10.833298495736353,"lon":106.76769042908782}
2024-07-16T00:48:49.941816337Z,{"lat":10.833295948218815,"lon":106.76764916711382}
2024-07-16T00:48:50.952062608Z,{"lat":10.833283963859907,"lon":106.76760192923078}
2024-07-16T00:48:51.976426285Z,{"lat":10.833275640093458,"lon":106.76755012290029}
2024-07-16T00:48:52.991763769Z,{"lat":10.833281803679185,"lon":106.76751612515751}
2024-07-16T00:48:54.001461719Z,{"lat":10.833281234960037,"lon":106.76748663169583}
2024-07-16T00:48:55.019844496Z,{"lat":10.833275893789756,"lon":106.76745380143834}
2024-07-16T00:48:56.02715979Z,{"lat":10.833268306699031,"lon":106.7674173976547}
2024-07-16T00:48:57.046304972Z,{"lat":10.833266639161556,"lon":106.76738943178405}
2024-07-16T00:48:58.06680087Z,{"lat":10.833262919322546,"lon":106.7673484289347}
2024-07-16T00:48:59.056986575Z,{"lat":10.83326394765082,"lon":106.76732162629874}
2024-07-16T00:49:00.092122807Z,{"lat":10.833258639869308,"lon":106.76728928814084}
2024-07-16T00:49:01.119673977Z,{"lat":10.833258745190626,"lon":106.7672645276348}
2024-07-16T00:49:02.140973341Z,{"lat":10.83325479869354,"lon":106.76724042059706}
2024-07-16T00:49:03.141815153Z,{"lat":10.83326511532433,"lon":106.7672259451139}
2024-07-16T00:49:04.161978571Z,{"lat":10.83328909839002,"lon":106.76721244426271}
2024-07-16T00:49:05.172182215Z,{"lat":10.833324879546431,"lon":106.76720133739654}
2024-07-16T00:49:06.191738007Z,{"lat":10.83335313725316,"lon":106.76720383262568}
2024-07-16T00:49:07.201971278Z,{"lat":10.833381164558942,"lon":106.76720866348126}
2024-07-16T00:49:08.225910684Z,{"lat":10.833421656301649,"lon":106.767210936735}
2024-07-16T00:49:09.234893942Z,{"lat":10.833470808422435,"lon":106.76721084829795}
2024-07-16T00:49:10.251776844Z,{"lat":10.833524606403332,"lon":106.76720917003948}
2024-07-16T00:49:11.259025221Z,{"lat":10.833577773395454,"lon":106.76722285763957}
2024-07-16T00:49:12.274972279Z,{"lat":10.833626396628835,"lon":106.76722255500236}
2024-07-16T00:49:13.302088628Z,{"lat":10.833686498382995,"lon":106.76722484425687}
2024-07-16T00:49:14.315688033Z,{"lat":10.833747665376439,"lon":106.76722475517171}
2024-07-16T00:49:15.332953482Z,{"lat":10.833804459330835,"lon":106.76723269707935}
2024-07-16T00:49:16.342196082Z,{"lat":10.83389972861711,"lon":106.76723241666853}
2024-07-16T00:49:17.36194368Z,{"lat":10.83395372606505,"lon":106.7672146186753}
2024-07-16T00:49:18.383725713Z,{"lat":10.833999854899451,"lon":106.76720720734764}
2024-07-16T00:49:19.392217168Z,{"lat":10.834045495122663,"lon":106.76720240288822}
2024-07-16T00:49:20.412194791Z,{"lat":10.834083475993506,"lon":106.76719713411045}
2024-07-16T00:49:21.429989171Z,{"lat":10.83412441200289,"lon":106.76718236851687}
2024-07-16T00:49:22.442018839Z,{"lat":10.834154320771578,"lon":106.76716427339255}
2024-07-16T00:49:23.452164196Z,{"lat":10.8341883657156,"lon":106.76714898257586}
2024-07-16T00:49:24.479058962Z,{"lat":10.834214395746889,"lon":106.76714001881759}
2024-07-16T00:49:25.482312361Z,{"lat":10.834235419607067,"lon":106.76713604332494}
2024-07-16T00:49:26.482537458Z,{"lat":10.834254230569998,"lon":106.76713066661237}
2024-07-16T00:49:27.512029168Z,{"lat":10.834272762066101,"lon":106.76712244490642}
2024-07-16T00:49:28.512280747Z,{"lat":10.834288628156212,"lon":106.76711281040214}
2024-07-16T00:49:29.527427975Z,{"lat":10.834304814639012,"lon":106.7670989279438}
2024-07-16T00:49:30.541950714Z,{"lat":10.83431051281261,"lon":106.76709177443942}
2024-07-16T00:49:31.566435053Z,{"lat":10.834316815968025,"lon":106.76708831433162}
2024-07-16T00:49:32.582270642Z,{"lat":10.834328407739164,"lon":106.76708138237747}
2024-07-16T00:49:33.592094263Z,{"lat":10.834346391317501,"lon":106.76706838582972}
2024-07-16T00:49:34.623534559Z,{"lat":10.834362796362331,"lon":106.76705984455928}
2024-07-16T00:49:35.605993376Z,{"lat":10.834377705457346,"lon":106.76705011615432}
2024-07-16T00:49:36.642176616Z,{"lat":10.834397643784822,"lon":106.7670426101003}
2024-07-16T00:49:37.652226877Z,{"lat":10.834419257120937,"lon":106.76702892869095}
2024-07-16T00:49:38.695793053Z,{"lat":10.834441271561065,"lon":106.76701201001276}
2024-07-16T00:49:39.681936044Z,{"lat":10.834459434184405,"lon":106.76700069452531}
2024-07-16T00:49:40.691815596Z,{"lat":10.834471432730794,"lon":106.76698860729519}
2024-07-16T00:49:41.722135253Z,{"lat":10.834480237534452,"lon":106.766972463334}
2024-07-16T00:49:42.732086641Z,{"lat":10.834493462297289,"lon":106.76696374252462}
2024-07-16T00:49:43.75268727Z,{"lat":10.834498567629373,"lon":106.76695976377972}
2024-07-16T00:49:44.762415387Z,{"lat":10.834500571792312,"lon":106.76695784322251}
2024-07-16T00:49:45.775927132Z,{"lat":10.834498297274807,"lon":106.76695784061022}
